#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:24:44.645
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.001663349609375,-0.9787382156336669
0.001663974609375,-0.9736089326472108
0.001664599609375,-0.9736089326472108
0.001665224609375,-0.9787382156336669
0.001665849609375,-0.9736089326472108
0.001666474609375,-0.9684796496607547
0.001667099609375,-0.9787382156336669
0.001667724609375,-0.9736089326472108
0.001668349609375,-0.9684796496607547
0.001668974609375,-0.9787382156336669
0.001669599609375,-0.9736089326472108
0.001670224609375,-0.9736089326472108
0.001670849609375,-0.9787382156336669
0.001671474609375,-0.9736089326472108
0.001672099609375,-0.9736089326472108
0.001672724609375,-0.9787382156336669
0.001673349609375,-0.9787382156336669
0.001673974609375,-0.9736089326472108
0.001674599609375,-0.9787382156336669
0.001675224609375,-0.9787382156336669
0.001675849609375,-0.9736089326472108
0.001676474609375,-0.9787382156336669
0.001677099609375,-0.9787382156336669
0.001677724609375,-0.9736089326472108
0.001678349609375,-0.9736089326472108
0.001678974609375,-0.9736089326472108
0.001679599609375,-0.9736089326472108
0.001680224609375,-0.9787382156336669
0.001680849609375,-0.9736089326472108
0.001681474609375,-0.9736089326472108
0.001682099609375,-0.9787382156336669
0.001682724609375,-0.9736089326472108
0.001683349609375,-0.9736089326472108
0.001683974609375,-0.9787382156336669
0.001684599609375,-0.9736089326472108
0.001685224609375,-0.9736089326472108
0.001685849609375,-0.9787382156336669
0.001686474609375,-0.9787382156336669
0.001687099609375,-0.9736089326472108
0.001687724609375,-0.9787382156336669
0.001688349609375,-0.9736089326472108
0.001688974609375,-0.9684796496607547
0.001689599609375,-0.9787382156336669
0.001690224609375,-0.9736089326472108
0.001690849609375,-0.9684796496607547
0.001691474609375,-0.9787382156336669
0.001692099609375,-0.9736089326472108
0.001692724609375,-0.9684796496607547
0.001693349609375,-0.9736089326472108
0.001693974609375,-0.9736089326472108
0.001694599609375,-0.9633503666742986
0.001695224609375,-0.9736089326472108
