#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:41:18.550
#Sample rate: 8e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 20 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 90 °

Time (s),Channel 1 (V)
-0.0004975570885894496,-0.8981710159824647
-0.0004974320885894496,-0.8981710159824647
-0.0004973070885894496,-0.8981710159824647
-0.0004971820885894496,-0.8981710159824647
-0.0004970570885894495,-0.8981710159824556
-0.0004969320885894496,-0.8781597839538835
-0.0004968070885894496,-0.8981710159824556
-0.0004966820885894496,-0.8981710159824647
-0.0004965570885894496,-0.8981710159824647
-0.0004964320885894496,-0.8981710159824647
-0.0004963070885894496,-0.8781597839538835
-0.0004961820885894495,-0.8981710159824647
-0.0004960570885894496,-0.8981710159824647
-0.0004959320885894496,-0.8981710159824647
-0.0004958070885894496,-0.8981710159824647
-0.0004956820885894496,-0.8981710159824647
-0.0004955570885894496,-0.8981710159824647
-0.0004954320885894495,-0.8981710159824647
-0.0004953070885894496,-0.8981710159824647
