#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:48:33.951
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Math 1: Function: C1 - C2

#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-0.0023783203125,-2.346818804553194,-1.917248088342632,-0.4295707162105619
-0.0023776953125,-2.357259485574777,-1.928948954220997,-0.4283105313537796
-0.0023770703125,-2.357259485574777,-1.928948954221003,-0.4283105313537743
-0.0023764453125,-2.357259485574777,-1.940649820099368,-0.4166096654754086
-0.0023758203125,-2.367700166596365,-1.928948954220997,-0.4387512123753676
-0.0023751953125,-2.367700166596365,-1.940649820099368,-0.4270503464969966
-0.0023745703125,-2.367700166596365,-1.940649820099368,-0.4270503464969966
-0.0023739453125,-2.367700166596365,-1.928948954221003,-0.4387512123753623
-0.0023733203125,-2.378140847617953,-1.940649820099368,-0.4374910275185846
-0.0023726953125,-2.378140847617953,-1.952350685977734,-0.4257901616402189
-0.0023720703125,-2.378140847617953,-1.940649820099368,-0.4374910275185846
-0.0023714453125,-2.388581528639545,-1.952350685977745,-0.4362308426618006
-0.0023708203125,-2.399022209661128,-1.96405155185611,-0.4349706578050183
-0.0023701953125,-2.38858152863954,-1.96405155185611,-0.4245299767834303
-0.0023695703125,-2.38858152863954,-1.96405155185611,-0.4245299767834303
-0.0023689453125,-2.399022209661128,-1.975752417734481,-0.4232697919266473
-0.0023683203125,-2.399022209661128,-1.964051551856115,-0.434970657805013
-0.0023676953125,-2.399022209661128,-1.96405155185611,-0.4349706578050183
-0.0023670703125,-2.409462890682716,-1.975752417734481,-0.4337104729482353
-0.0023664453125,-2.409462890682716,-1.975752417734481,-0.4337104729482353
-0.0023658203125,-2.409462890682716,-1.975752417734481,-0.4337104729482353
-0.0023651953125,-2.409462890682716,-1.975752417734481,-0.4337104729482353
-0.0023645703125,-2.409462890682716,-1.975752417734481,-0.4337104729482353
-0.0023639453125,-2.4199035717043,-1.987453283612847,-0.4324502880914528
-0.0023633203125,-2.419903571704304,-1.987453283612852,-0.4324502880914523
-0.0023626953125,-2.419903571704304,-1.975752417734487,-0.444151153969818
-0.0023620703125,-2.419903571704304,-1.975752417734481,-0.4441511539698233
-0.0023614453125,-2.419903571704309,-1.987453283612852,-0.432450288091457
-0.0023608203125,-2.430344252725892,-1.987453283612852,-0.4428909691130403
-0.0023601953125,-2.419903571704304,-1.975752417734481,-0.4441511539698233
-0.0023595703125,-2.419903571704304,-1.987453283612852,-0.4324502880914523
-0.0023589453125,-2.419903571704304,-1.975752417734481,-0.4441511539698233
-0.0023583203125,-2.419903571704304,-1.987453283612847,-0.4324502880914576
-0.0023576953125,-2.430344252725892,-1.987453283612852,-0.4428909691130403
-0.0023570703125,-2.430344252725892,-1.987453283612852,-0.4428909691130403
-0.0023564453125,-2.430344252725892,-1.987453283612852,-0.4428909691130403
-0.0023558203125,-2.430344252725897,-1.987453283612858,-0.4428909691130397
-0.0023551953125,-2.440784933747481,-1.999154149491223,-0.4416307842562572
-0.0023545703125,-2.440784933747481,-1.999154149491223,-0.4416307842562572
-0.0023539453125,-2.451225614769068,-1.999154149491223,-0.4520714652778448
-0.0023533203125,-2.440784933747481,-1.999154149491223,-0.4416307842562572
